Object;Score;comment
person;0;neutral
bicycle;5;
car;-4;
motorcycle;-3;
airplane;-5;
bus;3;
train;4;
truck;-2;
boat;0;depends if sailboat or motoboat
traffic light;-1;urban scene
fire hydrant;-1;urban scene
stop sign;-1;urban scene
parking meter;-1;urban scene
bench;1;calm
bird;3;
cat;3;
dog;3;
horse;3;
sheep;3;
cow;3;
elephant;1;Incitation to travel
bear;1;Incitation to travel
zebra;1;Incitation to travel
giraffe;1;Incitation to travel
backpack;0;depends on context
umbrella;0;
handbag;0;
tie;0;
suitcase;-2;Travel
frisbee;2;Sport
skis;-2;Polluting sport
snowboard;-2;Polluting sport
sports ball;2;
kite;2;
baseball bat;2;
baseball glove;2;
skateboard;2;
surfboard;2;
tennis racket;2;
bottle;-2;
wine glass;0;
cup;0;
fork;0;
knife;0;
spoon;0;
bowl;0;
banana;-3;Imported
apple;3;Local
sandwich;0;
orange;-3;Imported
broccoli;2;
carrot;3;
hot dog;-1;Meat
pizza;0;
donut;0;
cake;0;
chair;0;
couch;0;
potted plant;2;nature
bed;0;
dining table;0;
toilet;0;
tv;-2;IT
laptop;-2;IT
mouse;-1;
remote;-1;
keyboard;-1;
cell phone;-1;
microwave;-1;
oven;-1;
toaster;-1;
sink;0;
refrigerator;-1;
book;4;
clock;0;
vase;0;
scissors;0;
teddy bear;0;
hair drier;-1;
toothbrush;0;
