;Place;Score;Comment;
;abbey;2;;
;airfield;-5;High speed travel;
/a/airplane_cabin 1;airplane_cabin;-5;High speed travel;
/a/airport_terminal 2;airport_terminal;-5;High speed travel;
/a/alcove 3;alcove;0;;
/a/alley 4;alley;0;;
/a/amphitheater 5;amphitheater;1;Connect to past;
/a/amusement_arcade 6;amusement_arcade;-3;Plastic ;
/a/amusement_park 7;amusement_park;-3;;
/a/apartment_building/outdoor 8;apartment_building/outdoor;2;Dense cities;
/a/aquarium 9;aquarium;-1;Animal protection;?
/a/aqueduct 10;aqueduct ;1;Connect to past;
/a/arcade 11;arcade ;0;;
/a/arch 12;arch ;0;;
/a/archaelogical_excavation 13;archaelogical_excavation ;2;Connect to nature;
/a/archive 14;archive ;0;;
/a/arena/hockey 15;arena/hockey ;-1;Polluting sport;
/a/arena/performance 16;arena/performance ;-1;Travel and entertain;
/a/arena/rodeo 17;arena/rodeo ;-2;Animal protection;
/a/army_base 18;army_base ;-3;War;
/a/art_gallery 19;art_gallery ;0;;
/a/art_school 20;art_school ;0;;
/a/art_studio 21;art_studio ;0;;
/a/artists_loft 22;artists_loft ;-1;Big places;
/a/assembly_line 23;assembly_line ;-2;High tech;
/a/athletic_field/outdoor 24;athletic_field/outdoor ;1;;
/a/atrium/public 25;atrium/public ;-1;High tech;
/a/attic 26;attic ;0;;
/a/auditorium 27;auditorium ;0;;
/a/auto_factory 28;auto_factory ;-3;High speed travel;
/a/auto_showroom 29;auto_showroom ;-5;High speed travel;
/b/badlands 30;badlands ;3;Nature;
/b/bakery/shop 31;bakery/shop ;0;;
/b/balcony/exterior 32;balcony/exterior ;0;;
/b/balcony/interior 33;balcony/interior ;0;;
/b/ball_pit 34;ball_pit ;-1;Plastic ;
/b/ballroom 35;ballroom ;0;;
/b/bamboo_forest 36;bamboo_forest ;3;;
/b/bank_vault 37;bank_vault ;0;;
/b/banquet_hall 38;banquet_hall ;0;;
/b/bar 39;bar ;0;;
/b/barn 40;barn ;2;Nature;
/b/barndoor 41;barndoor ;2;Nature;
/b/baseball_field 42;baseball_field ;2;;
/b/basement 43;basement ;0;;
/b/basketball_court/indoor 44;basketball_court/indoor ;2;;
/b/bathroom 45;bathroom ;-1;Cosmetics;
/b/bazaar/indoor 46;bazaar/indoor ;-2;Over Consumption;
/b/bazaar/outdoor 47;bazaar/outdoor ;-2;Over Consumption;
/b/beach 48;beach ;0;;
/b/beach_house 49;beach_house ;0;;
/b/beauty_salon 50;beauty_salon ;-1;Cosmetics;
/b/bedchamber 51;bedchamber ;0;;
/b/bedroom 52;bedroom ;0;;
/b/beer_garden 53;beer_garden ;0;;
/b/beer_hall 54;beer_hall ;0;;
/b/berth 55;berth ;-2;Travel;
/b/biology_laboratory 56;biology_laboratory ;1;Research;
/b/boardwalk 57;boardwalk ;1;Nature;
/b/boat_deck 58;boat_deck ;0;Depends on context;
/b/boathouse 59;boathouse ;1;Nature;
/b/bookstore 60;bookstore ;2;Slow life;
/b/booth/indoor 61;booth/indoor ;-1;Plastic ;
/b/botanical_garden 62;botanical_garden ;2;Nature;
/b/bow_window/indoor 63;bow_window/indoor ;-1;Big houses;
/b/bowling_alley 64;bowling_alley ;0;;
/b/boxing_ring 65;boxing_ring ;0;;
/b/bridge 66;bridge ;0;;
/b/building_facade 67;building_facade ;0;;
/b/bullring 68;bullring ;-4;Animal protection;
/b/burial_chamber 69;burial_chamber ;0;;
/b/bus_interior 70;bus_interior ;3;Public transportation;
/b/bus_station/indoor 71;bus_station/indoor ;3;Public transportation;
/b/butchers_shop 72;butchers_shop ;-5;Meat consumption;
/b/butte 73;butte ;-1;Travel;
/c/cabin/outdoor 74;cabin/outdoor ;3;small places;
/c/cafeteria 75;cafeteria ;0;;
/c/campsite 76;campsite ;3;Nature;
/c/campus 77;campus ;0;;
/c/canal/natural 78;canal/natural ;2;Nature;
/c/canal/urban 79;canal/urban ;1;;
/c/candy_store 80;candy_store ;-1;Over Consumption;
/c/canyon 81;canyon ;-1;Travel;
/c/car_interior 82;car_interior ;-4;High speed travel;
/c/carrousel 83;carrousel ;0;;
/c/castle 84;castle ;0;;
/c/catacomb 85;catacomb ;0;;
/c/cemetery 86;cemetery ;0;;
/c/chalet 87;chalet ;0;Depends on context;
/c/chemistry_lab 88;chemistry_lab ;1;Research;
/c/childs_room 89;childs_room ;0;;
/c/church/indoor 90;church/indoor ;0;;
